PaymentID,ClaimID,PaymentAmount,PaymentStatus,PaymentDate
0007f631-35fa-4f0e-91c3-8f2094d70be1,491926ae-cd01-41a6-b8a0-ef87e6be8866,4695.92,Rejected,2022-03-25
0008a1a8-ba80-49fa-9a72-669e709781b5,3cdb7946-3fc2-4573-931f-c396b86f64f7,2713.49,Rejected,2021-03-22
0008f898-412e-430f-b0a3-cd600ed7ffc4,e9792818-5ef0-48ac-b0f1-a1d6b360f553,3106.02,Paid,2020-02-18
001823d9-4d5e-4cdd-a8b6-7d6278b92b95,b0eac3e0-5f94-43fd-bfcf-6296ebba3cb1,1421.62,Pending,2022-06-15
00182808-ee1e-40df-a941-380145074cb1,554357a5-2a44-4ef3-bfba-ad0535a72276,4594.59,Paid,2023-12-12
001b73a6-a9dd-471e-8098-590e84b637b6,175b9fad-083b-4206-a44c-0ad866d4a060,4737.84,Rejected,2020-03-09
001f9ed6-3be5-4da5-a112-a12390cd7fe3,d791343b-fc9a-43c7-ab0e-1582ec017760,4699.84,Pending,2022-03-04
00237949-dc8d-4e51-ab53-0e76711943f4,55c010cf-0964-4d05-bc6d-1fbabed871e1,1167.35,Pending,2021-12-12
00333ca5-d6c0-479f-9701-3cbd244e88f9,6c6b56cc-7bd1-4cae-906f-75237ffaf521,688.38,Pending,2022-01-10
00624733-554b-40b4-a487-4c17dc0859fe,1be7f3d4-da17-4483-b579-302dd5e36c80,4710.4,Pending,2023-04-07
00627e0b-d316-4848-8b2b-3f61aa8c6f18,b91603ad-019d-44d8-9e50-01e1d453d8a8,809.08,Paid,2021-11-21
006938c8-adcb-457c-992a-fffd4a2cddba,cc86c2be-a0e4-4fce-b968-882a64702896,4030.4,Rejected,2023-10-29
0076ed33-c8a3-497d-80d4-983d0e99c58f,51090b14-8661-4955-9e3d-4b67460a4c40,1278.78,Paid,2021-11-28
00882997-86a7-4a28-96b1-405479da36ea,dbc15a26-2f97-4cf2-97ed-09dd6e8dd6da,4982.58,Pending,2022-10-18
008aa9ec-d5c5-491f-bfb7-8afcfc6253a3,cb9c0f56-2f2e-40e5-bcde-71cd40e477b1,521.8,Paid,2023-01-29
00b7eb28-468f-4f97-a59e-0c141aa9df73,80606700-7f02-4f43-8e12-461b50aef327,3825.58,Rejected,2022-03-06
00f2c333-7beb-444e-932c-c8096a12159b,a5170354-73ee-4d97-82c4-49053c13a54b,4666.5,Paid,2021-04-09
00f5441a-c434-4c2c-9d87-3e8be8efde33,4d44b686-7bf7-4458-853d-e0b2c32cac8d,3753.17,Pending,2021-07-12
0122b334-be50-4563-b3d2-a23d8259d23a,502abce7-4acd-4722-990d-2978f9257d67,1589.85,Paid,2020-01-08
01243f78-3145-42d4-9295-c7836214df01,fe1431fb-34bf-4d19-ab93-4e94473291c5,2519.88,Pending,2020-05-29
01399d8d-a996-41c0-b7c2-7aa3bdecdbc8,d4ef063f-d168-4906-b948-63bc0e0d9193,3673.7,Pending,2021-07-21
013b4a6c-f4bc-426d-baa9-8c0294365cbe,5743c378-b579-4ebd-8523-dc57d2916c50,4661.75,Rejected,2024-03-24
014c70c6-c41e-4bf2-b780-4c86c98aa8c4,b3900405-0b51-45d6-b535-bb62b2ce429f,6116.700000000001,Pending,2023-09-13
